date,year,name_en,name_ru,event_type
2026-01-07,2026,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,явление
2026-01-23,2026,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,явление
2026-01-23,2026,Visvanatha Cakravarti Thakura,Вишванатха Чакраварти Тхакур,уход
2026-02-01,2026,Narottama Dasa Thakura,Нароттама Дас Тхакур,явление
2026-02-06,2026,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,явление
2026-07-14,2026,Bhaktivinoda Thakura,Бхактивинода Тхакур,уход
2026-07-29,2026,Sanatana Gosvami,Санатана Госвами,уход
2026-08-03,2026,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,уход
2026-08-24,2026,Rupa Gosvami,Рупа Госвами,уход
2026-09-05,2026,Prabhupada,Шрила Прабхупада,явление
2026-09-23,2026,Jiva Gosvami,Джива Госвами,явление
2026-09-24,2026,Bhaktivinoda Thakura,Бхактивинода Тхакур,явление
2026-10-23,2026,Krsnadasa Kaviraja Gosvami,Кришнадас Кавирадж Госвами,уход
2026-10-23,2026,Raghunatha Bhatta Gosvami,Рагхунатха Бхатта Госвами,уход
2026-10-23,2026,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,уход
2026-10-30,2026,Narottama Dasa Thakura,Нароттама Дас Тхакур,уход
2026-11-13,2026,Prabhupada,Шрила Прабхупада,уход
2026-12-27,2026,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,уход
2027-01-10,2027,Jiva Gosvami,Джива Госвами,уход
2027-01-26,2027,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,явление
2027-02-11,2027,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,явление
2027-02-11,2027,Visvanatha Cakravarti Thakura,Вишванатха Чакраварти Тхакур,уход
2027-02-21,2027,Narottama Dasa Thakura,Нароттама Дас Тхакур,явление
2027-02-25,2027,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,явление
2027-07-04,2027,Bhaktivinoda Thakura,Бхактивинода Тхакур,уход
2027-07-18,2027,Sanatana Gosvami,Санатана Госвами,уход
2027-07-24,2027,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,уход
2027-08-13,2027,Rupa Gosvami,Рупа Госвами,уход
2027-08-26,2027,Prabhupada,Шрила Прабхупада,явление
2027-09-12,2027,Jiva Gosvami,Джива Госвами,явление
2027-09-13,2027,Bhaktivinoda Thakura,Бхактивинода Тхакур,явление
2027-10-12,2027,Krsnadasa Kaviraja Gosvami,Кришнадас Кавирадж Госвами,уход
2027-10-12,2027,Raghunatha Bhatta Gosvami,Рагхунатха Бхатта Госвами,уход
2027-10-12,2027,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,уход
2027-10-20,2027,Narottama Dasa Thakura,Нароттама Дас Тхакур,уход
2027-11-02,2027,Prabhupada,Шрила Прабхупада,уход
2027-12-17,2027,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,уход
2027-12-30,2027,Jiva Gosvami,Джива Госвами,уход
2028-01-16,2028,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,явление
2028-02-01,2028,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,явление
2028-02-01,2028,Visvanatha Cakravarti Thakura,Вишванатха Чакраварти Тхакур,уход
2028-02-10,2028,Narottama Dasa Thakura,Нароттама Дас Тхакур,явление
2028-02-14,2028,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,явление
2028-06-22,2028,Bhaktivinoda Thakura,Бхактивинода Тхакур,уход
2028-07-06,2028,Sanatana Gosvami,Санатана Госвами,уход
2028-07-12,2028,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,уход
2028-08-02,2028,Rupa Gosvami,Рупа Госвами,уход
2028-08-14,2028,Prabhupada,Шрила Прабхупада,явление
2028-08-31,2028,Jiva Gosvami,Джива Госвами,явление
2028-09-01,2028,Bhaktivinoda Thakura,Бхактивинода Тхакур,явление
2028-09-30,2028,Krsnadasa Kaviraja Gosvami,Кришнадас Кавирадж Госвами,уход
