date,year,name_en,name_ru
2026-01-14,2026,Sat-tila Ekadasi,Sat-tila Ekadasi
2026-01-29,2026,Bhaimi Ekadasi,Bhaimi Ekadasi
2026-02-13,2026,Vijaya Ekadasi,Vijaya Ekadasi
2026-02-27,2026,Amalaki vrata Ekadasi,Amalaki vrata Ekadasi
2026-03-15,2026,Papamocani Ekadasi,Papamocani Ekadasi
2026-03-29,2026,Kamada Ekadasi,Kamada Ekadasi
2026-04-13,2026,Varuthini Ekadasi,Varuthini Ekadasi
2026-04-27,2026,Mohini Ekadasi,Mohini Ekadasi
2026-05-13,2026,Apara Ekadasi,Apara Ekadasi
2026-05-27,2026,Padmini Ekadasi,Padmini Ekadasi
2026-06-11,2026,Parama Ekadasi,Parama Ekadasi
2026-06-25,2026,Pandava Nirjala Ekadasi,Pandava Nirjala Ekadasi
2026-07-11,2026,Yogini Ekadasi,Yogini Ekadasi
2026-07-25,2026,Sayana Ekadasi,Sayana Ekadasi
2026-08-09,2026,Kamika Ekadasi,Kamika Ekadasi
2026-08-23,2026,Pavitraropana Ekadasi,Pavitraropana Ekadasi
2026-09-07,2026,Annada Ekadasi,Annada Ekadasi
2026-09-22,2026,Parsva Ekadasi,Parsva Ekadasi
2026-10-06,2026,Indira Ekadasi,Indira Ekadasi
2026-10-22,2026,Pasankusa Ekadasi,Pasankusa Ekadasi
2026-11-05,2026,Rama Ekadasi,Rama Ekadasi
2026-12-04,2026,Utpanna Ekadasi,Utpanna Ekadasi
2026-12-20,2026,Moksada Ekadasi,Moksada Ekadasi
2027-01-03,2027,Saphala Ekadasi,Saphala Ekadasi
2027-01-19,2027,Putrada Ekadasi,Putrada Ekadasi
2027-02-02,2027,Sat-tila Ekadasi,Sat-tila Ekadasi
2027-02-17,2027,Bhaimi Ekadasi,Bhaimi Ekadasi
2027-03-04,2027,Vijaya Ekadasi,Vijaya Ekadasi
2027-03-18,2027,Amalaki vrata Ekadasi,Amalaki vrata Ekadasi
2027-04-02,2027,Papamocani Ekadasi,Papamocani Ekadasi
2027-04-17,2027,Kamada Ekadasi,Kamada Ekadasi
2027-05-02,2027,Varuthini Ekadasi,Varuthini Ekadasi
2027-05-16,2027,Mohini Ekadasi,Mohini Ekadasi
2027-06-01,2027,Apara Ekadasi,Apara Ekadasi
2027-06-14,2027,Pandava Nirjala Ekadasi,Pandava Nirjala Ekadasi
2027-06-30,2027,Yogini Ekadasi,Yogini Ekadasi
2027-07-14,2027,Sayana Ekadasi,Sayana Ekadasi
2027-07-30,2027,Kamika Ekadasi,Kamika Ekadasi
2027-08-12,2027,Pavitraropana Ekadasi,Pavitraropana Ekadasi
2027-08-28,2027,Annada Ekadasi,Annada Ekadasi
2027-09-12,2027,Parsva Ekadasi,Parsva Ekadasi
2027-09-26,2027,Indira Ekadasi,Indira Ekadasi
2027-10-11,2027,Pasankusa Ekadasi,Pasankusa Ekadasi
2027-10-26,2027,Rama Ekadasi,Rama Ekadasi
2027-11-10,2027,Utthana Ekadasi,Utthana Ekadasi
2027-11-24,2027,Utpanna Ekadasi,Utpanna Ekadasi
2027-12-09,2027,Moksada Ekadasi,Moksada Ekadasi
2027-12-23,2027,Saphala Ekadasi,Saphala Ekadasi
2028-01-08,2028,Putrada Ekadasi,Putrada Ekadasi
2028-01-22,2028,Sat-tila Ekadasi,Sat-tila Ekadasi
2028-02-07,2028,Bhaimi Ekadasi,Bhaimi Ekadasi
2028-02-21,2028,Vijaya Ekadasi,Vijaya Ekadasi
2028-03-07,2028,Amalaki vrata Ekadasi,Amalaki vrata Ekadasi
2028-03-21,2028,Papamocani Ekadasi,Papamocani Ekadasi
2028-04-20,2028,Varuthini Ekadasi,Varuthini Ekadasi
2028-05-05,2028,Mohini Ekadasi,Mohini Ekadasi
2028-05-20,2028,Apara Ekadasi,Apara Ekadasi
2028-06-03,2028,Pandava Nirjala Ekadasi,Pandava Nirjala Ekadasi
2028-06-18,2028,Yogini Ekadasi,Yogini Ekadasi
2028-07-02,2028,Sayana Ekadasi,Sayana Ekadasi
2028-07-18,2028,Kamika Ekadasi,Kamika Ekadasi
2028-08-01,2028,Pavitraropana Ekadasi,Pavitraropana Ekadasi
2028-08-17,2028,Annada Ekadasi,Annada Ekadasi
2028-08-30,2028,Parsva Ekadasi,Parsva Ekadasi
2028-09-15,2028,Indira Ekadasi,Indira Ekadasi
2028-09-29,2028,Pasankusa Ekadasi,Pasankusa Ekadasi
2028-10-14,2028,Rama Ekadasi,Rama Ekadasi
2028-10-28,2028,Utthana Ekadasi,Utthana Ekadasi
2028-11-13,2028,Utpanna Ekadasi,Utpanna Ekadasi
2028-11-27,2028,Moksada Ekadasi,Moksada Ekadasi
2028-12-12,2028,Saphala Ekadasi,Saphala Ekadasi
2028-12-27,2028,Putrada Ekadasi,Putrada Ekadasi
2029-01-10,2029,Sat-tila Ekadasi,Sat-tila Ekadasi
2029-01-26,2029,Bhaimi Ekadasi,Bhaimi Ekadasi
2029-02-09,2029,Vijaya Ekadasi,Vijaya Ekadasi
2029-02-25,2029,Amalaki vrata Ekadasi,Amalaki vrata Ekadasi
2029-03-10,2029,Papamocani Ekadasi,Papamocani Ekadasi
2029-03-26,2029,Padmini Ekadasi,Padmini Ekadasi
2029-04-09,2029,Parama Ekadasi,Parama Ekadasi
2029-04-25,2029,Kamada Ekadasi,Kamada Ekadasi
2029-05-09,2029,Varuthini Ekadasi,Varuthini Ekadasi
2029-05-24,2029,Mohini Ekadasi,Mohini Ekadasi
2029-06-07,2029,Apara Ekadasi,Apara Ekadasi
2029-06-22,2029,Pandava Nirjala Ekadasi,Pandava Nirjala Ekadasi
2029-07-07,2029,Yogini Ekadasi,Yogini Ekadasi
2029-07-21,2029,Sayana Ekadasi,Sayana Ekadasi
2029-08-06,2029,Kamika Ekadasi,Kamika Ekadasi
2029-08-20,2029,Pavitraropana Ekadasi,Pavitraropana Ekadasi
2029-09-04,2029,Annada Ekadasi,Annada Ekadasi
2029-09-18,2029,Parsva Ekadasi,Parsva Ekadasi
2029-10-04,2029,Indira Ekadasi,Indira Ekadasi
2029-10-18,2029,Pasankusa Ekadasi,Pasankusa Ekadasi
2029-11-02,2029,Rama Ekadasi,Rama Ekadasi
2029-11-16,2029,Utthana Ekadasi,Utthana Ekadasi
2029-12-02,2029,Utpanna Ekadasi,Utpanna Ekadasi
2029-12-16,2029,Moksada Ekadasi,Moksada Ekadasi
2029-12-31,2029,Saphala Ekadasi,Saphala Ekadasi
2030-01-15,2030,Putrada Ekadasi,Putrada Ekadasi
2030-01-30,2030,Sat-tila Ekadasi,Sat-tila Ekadasi
2030-02-14,2030,Bhaimi Ekadasi,Bhaimi Ekadasi
2030-02-28,2030,Vijaya Ekadasi,Vijaya Ekadasi
2030-03-29,2030,Papamocani Ekadasi,Papamocani Ekadasi
2030-04-14,2030,Kamada Ekadasi,Kamada Ekadasi
2030-04-28,2030,Varuthini Ekadasi,Varuthini Ekadasi
2030-05-14,2030,Mohini Ekadasi,Mohini Ekadasi
2030-05-27,2030,Apara Ekadasi,Apara Ekadasi
2030-06-12,2030,Pandava Nirjala Ekadasi,Pandava Nirjala Ekadasi
2030-06-26,2030,Yogini Ekadasi,Yogini Ekadasi
2030-07-11,2030,Sayana Ekadasi,Sayana Ekadasi
2030-07-26,2030,Kamika Ekadasi,Kamika Ekadasi
2030-08-24,2030,Annada Ekadasi,Annada Ekadasi
2030-09-08,2030,Parsva Ekadasi,Parsva Ekadasi
2030-09-23,2030,Indira Ekadasi,Indira Ekadasi
2030-10-07,2030,Pasankusa Ekadasi,Pasankusa Ekadasi
2030-10-23,2030,Rama Ekadasi,Rama Ekadasi
2030-11-05,2030,Utthana Ekadasi,Utthana Ekadasi
2030-11-21,2030,Utpanna Ekadasi,Utpanna Ekadasi
2030-12-05,2030,Moksada Ekadasi,Moksada Ekadasi
2030-12-21,2030,Saphala Ekadasi,Saphala Ekadasi
2031-01-04,2031,Putrada Ekadasi,Putrada Ekadasi
2031-01-19,2031,Sat-tila Ekadasi,Sat-tila Ekadasi
2031-02-03,2031,Bhaimi Ekadasi,Bhaimi Ekadasi
2031-02-18,2031,Vijaya Ekadasi,Vijaya Ekadasi
2031-03-04,2031,Amalaki vrata Ekadasi,Amalaki vrata Ekadasi
2031-03-19,2031,Papamocani Ekadasi,Papamocani Ekadasi
2031-04-03,2031,Kamada Ekadasi,Kamada Ekadasi
2031-04-17,2031,Varuthini Ekadasi,Varuthini Ekadasi
2031-05-03,2031,Mohini Ekadasi,Mohini Ekadasi
2031-05-17,2031,Apara Ekadasi,Apara Ekadasi
2031-06-15,2031,Yogini Ekadasi,Yogini Ekadasi
2031-07-01,2031,Sayana Ekadasi,Sayana Ekadasi
2031-07-15,2031,Kamika Ekadasi,Kamika Ekadasi
2031-07-30,2031,Pavitraropana Ekadasi,Pavitraropana Ekadasi
2031-08-13,2031,Annada Ekadasi,Annada Ekadasi
2031-09-12,2031,Parama Ekadasi,Parama Ekadasi
2031-09-27,2031,Parsva Ekadasi,Parsva Ekadasi
2031-10-12,2031,Indira Ekadasi,Indira Ekadasi
2031-10-26,2031,Pasankusa Ekadasi,Pasankusa Ekadasi
2031-11-11,2031,Rama Ekadasi,Rama Ekadasi
2031-11-24,2031,Utthana Ekadasi,Utthana Ekadasi
2031-12-10,2031,Utpanna Ekadasi,Utpanna Ekadasi
2031-12-24,2031,Moksada Ekadasi,Moksada Ekadasi
2032-01-09,2032,Saphala Ekadasi,Saphala Ekadasi
2032-01-23,2032,Putrada Ekadasi,Putrada Ekadasi
2032-02-07,2032,Sat-tila Ekadasi,Sat-tila Ekadasi
