date,year,name_en,name_ru
2026-01-25,2026,Advaita Acarya,Явление Адвайты Ачарьи
2026-01-31,2026,Nityananda Trayodasi,Нитьянанда Трайодаши
2026-03-03,2026,Gaura Purnima,Гаура Пурнима
2026-03-27,2026,Rama Navami,Рама Навами
2026-04-02,2026,Radha Kunda,Явление Радха Кунды
2026-04-30,2026,Nrsimha Caturdasi,Нрисимха Чатурдаши
2026-08-28,2026,Balarama,Явление Баларамы
2026-09-04,2026,Janmastami,Шри Кришна Джанмаштами
2026-09-19,2026,Radhastami,Радхаштами
2026-11-09,2026,Dipavali,Дипавали
2026-11-10,2026,Govardhana Puja,Говардхана Пуджа
2027-02-13,2027,Advaita Acarya,Явление Адвайты Ачарьи
2027-02-19,2027,Nityananda Trayodasi,Нитьянанда Трайодаши
2027-03-22,2027,Gaura Purnima,Гаура Пурнима
2027-04-15,2027,Rama Navami,Рама Навами
2027-04-20,2027,Radha Kunda,Явление Радха Кунды
2027-05-19,2027,Nrsimha Caturdasi,Нрисимха Чатурдаши
2027-08-17,2027,Balarama,Явление Баларамы
2027-08-25,2027,Janmastami,Шри Кришна Джанмаштами
2027-09-08,2027,Radhastami,Радхаштами
2027-10-29,2027,Dipavali,Дипавали
2027-10-30,2027,Govardhana Puja,Говардхана Пуджа
2028-02-03,2028,Advaita Acarya,Явление Адвайты Ачарьи
2028-02-08,2028,Nityananda Trayodasi,Нитьянанда Трайодаши
2028-03-11,2028,Gaura Purnima,Гаура Пурнима
2028-04-04,2028,Rama Navami,Рама Навами
2028-04-09,2028,Radha Kunda,Явление Радха Кунды
2028-05-08,2028,Nrsimha Caturdasi,Нрисимха Чатурдаши
2028-08-05,2028,Balarama,Явление Баларамы
2028-08-13,2028,Janmastami,Шри Кришна Джанмаштами
2028-08-27,2028,Radhastami,Радхаштами
2028-10-18,2028,Dipavali,Дипавали
2028-10-19,2028,Govardhana Puja,Говардхана Пуджа
2029-01-22,2029,Advaita Acarya,Явление Адвайты Ачарьи
2029-01-28,2029,Nityananda Trayodasi,Нитьянанда Трайодаши
2029-02-28,2029,Gaura Purnima,Гаура Пурнима
2029-04-23,2029,Rama Navami,Рама Навами
2029-04-28,2029,Radha Kunda,Явление Радха Кунды
